,札幌市,仙台市,さいたま市,千葉市,特別区部,横浜市,川崎市,相模原市,新潟市,静岡市,浜松市,名古屋市,京都市,大阪市,堺市,神戸市,岡山市,広島市,北九州市,福岡市,熊本市
2022-06-13 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-13 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-13 05:00:00,0.00997449547387929,0.002204658687023809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-13 06:00:00,0.05676808523128896,0.046811968095172594,0.01222307887745571,0.023979562589041024,0.01706936979996756,0.021096160479776235,0.022297407090733457,0.020243725137195447,0.017722760499955956,0.018717314010811233,0.01642060135096988,0.008024380775197583,0.004484920208590412,0.006001813166717998,0.009712371521397187,0.003872623029102589,0.004929995253195216,0.0014625361090831546,0.0012832193480682163,0.0,0.0
2022-06-13 07:00:00,0.20913245764540886,0.09606242542082141,0.04779909232949812,0.08696803380693996,0.04885322809218442,0.0424631872132906,0.05161587771288156,0.03717446851318785,0.05104629883112363,0.03810365616447644,0.05107245096252839,0.024593481361329557,0.01429826564543541,0.022466521400428898,0.02403561623342125,0.022547131005928346,0.021808121168257238,0.01445669490993427,0.018847951757824312,0.007364139923844639,0.003217533818790297
2022-06-13 08:00:00,0.3718500650263896,0.16979646994583497,0.028427610354228364,0.08513216252094347,0.036019334292964146,0.049689526161706625,0.05197809008806473,0.05313867052097091,0.08693795855704706,0.07253684522792354,0.05761998428247007,0.03806937288539462,0.05711325927556864,0.07150172628188627,0.0587864180609316,0.06615437784182078,0.07913534445828396,0.05769396599239953,0.06075194535385585,0.042151389667496104,0.032304713961936654
2022-06-13 09:00:00,0.5266792952834575,0.21934912829088568,0.04645780774408781,0.13163404323992442,0.0754755857499391,0.11351534685728655,0.11169407371215978,0.10861960355699969,0.10764166752401444,0.06206612642377417,0.10120817560687458,0.041235471459994635,0.1076905149578904,0.14548614908968838,0.14621255101723757,0.14849838232421245,0.12797957755593548,0.12095554123350852,0.07298918078475218,0.05032933244410668,0.1241533448810583
2022-06-13 10:00:00,0.6232931529471706,0.23789413013472555,0.04254616826257648,0.17757829465818595,0.09370453666439169,0.11134715694191226,0.14558771031933382,0.08145533713616246,0.1031841390273683,0.0918184863750658,0.07322132455533711,0.11792614912252755,0.15363637768806804,0.18903627690986605,0.20201523715236275,0.17249150624141363,0.20508019570529099,0.16200761674185488,0.1273534657248258,0.12759815097575553,0.26560659772796225
2022-06-13 11:00:00,0.690626078134866,0.2784347930411935,0.038055078995911096,0.13898664221035456,0.07040965935863612,0.09271006406206746,0.10492068072419737,0.0854646104893166,0.06089553143537226,0.1325479251429701,0.14533660319762928,0.20892188158237598,0.22249778292442707,0.2867561895112407,0.32042812591514164,0.2647315794366449,0.19655196881381148,0.12196102530834181,0.20202225488630712,0.193343727310151,0.3156954903057008
2022-06-13 12:00:00,0.7209307337023737,0.16612598462493575,0.1215730636004853,0.24645468219292052,0.17586541887337306,0.2051786671289359,0.21484195270337347,0.19567948651971104,0.07098238219229852,0.21822545562611695,0.34307558177735537,0.2539234627978426,0.2304187399065752,0.31371209718269044,0.3779948254823756,0.2956970433856632,0.12575506135120207,0.07483211185796823,0.101850363859672,0.055269091758276274,0.367293796514925
2022-06-13 13:00:00,0.6961025510865949,0.1487017189008576,0.07183585025212719,0.19083013712675662,0.10304558969608159,0.1277212136894008,0.1381241105460167,0.13136753101894763,0.10176096156357652,0.2655702807639814,0.32027693315358885,0.21446176688865914,0.2620598557297747,0.3462334016134839,0.3990425014470733,0.30341016135989257,0.05844784260429745,0.0596729057996277,0.05641446449074884,0.051539733538751346,0.4434651916583505
2022-06-13 14:00:00,0.6345602396301456,0.15082506496877676,0.08558030427673108,0.18151902360591357,0.09593142648408143,0.08084393104846066,0.10961704672841538,0.07373023251911799,0.11093358697905446,0.2659469302882488,0.21929313789919327,0.09544928753175848,0.1828935697935577,0.18793416563563822,0.2665797922944067,0.11145125082784624,0.04308270730388536,0.0740908049493302,0.03493022994364078,0.044434927720654244,0.3715022347095238
2022-06-13 15:00:00,0.529712595212286,0.15626949240140328,0.07719775178841172,0.1090195887349817,0.06379615554314758,0.05293049687702598,0.06492065557597357,0.051062835280578735,0.10042502827607169,0.1660495921148649,0.20577085970466774,0.04853698102367855,0.07911630478340269,0.0830619307034005,0.14128350016098823,0.04506135943594854,0.03597237763819418,0.028876820063596965,0.041325846689325256,0.042162767675331336,0.2677646726678073
2022-06-13 16:00:00,0.30206597653906975,0.1599491883910348,0.02493295610254427,0.06237749370377631,0.021248105400146957,0.03601205000553628,0.03934105543758469,0.03641607919179829,0.10974046875430475,0.10759820746634502,0.20675719634506634,0.07198174334906887,0.05369644890563774,0.08565613981074342,0.09235383510544731,0.08372521062789175,0.05520886942981069,0.016625346529432795,0.04195736362593422,0.02975084876619359,0.15576851546395687
2022-06-13 17:00:00,0.18070837929969513,0.10366450906998081,0.018866257549606066,0.04908795714875006,0.023259234099093508,0.027281298784663396,0.035068971056732026,0.021540015011272333,0.11101298289800293,0.04955825904652599,0.10864117659645177,0.0266137383033189,0.01408930687924912,0.02487498546501609,0.022611568315696606,0.026716872015954598,0.03196086706435746,0.010070674549252598,0.021106493873841465,0.04255470034329446,0.0758332652117603
2022-06-13 18:00:00,0.050782947291491715,0.05231494747295275,0.006283035154862771,0.014801294455393988,0.008918381578238833,0.010902491931462447,0.012331001812086888,0.009215516051833041,0.06993102846657383,0.005732567416317515,0.006994708692395357,0.006002161076279631,0.004714833879650169,0.010220205968203156,0.011521664983662246,0.011920051333331416,0.014441634044030083,0.0028308780751134027,0.019929755567866348,0.0359080504822076,0.03738995461090533
2022-06-13 19:00:00,0.007350638071759692,0.008335472553255483,0.0,0.0,0.0,0.0,0.0,0.0,0.011571731939083289,0.0,0.0,0.0,0.0006014258698670739,0.001911753912062032,0.0015708939882143965,0.0021270555905596464,0.0026002993491348416,0.0006522744491316041,0.004031847332370154,0.0042813318794070266,0.009856909479646153
2022-06-13 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-13 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-13 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-13 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-14 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-14 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-14 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-14 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-14 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-14 05:00:00,0.011113481977424924,0.003916904730305526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-14 06:00:00,0.05328108118510656,0.05217036536609127,0.02376411056317003,0.020239997519503464,0.0201114937530715,0.015051132763943358,0.01708780828149137,0.013405786429013128,0.03837611671824041,0.007854588405664569,0.007322587560136118,0.0010758702270421742,0.0,0.0,0.002651126895868772,0.0,0.0009448611415802214,0.0007212549614939396,0.0015722376635151501,0.00039077916621781117,0.0004455538703972171
2022-06-14 07:00:00,0.18573306411250542,0.15398587788492824,0.07027192151272461,0.04692943034630199,0.04669383340927571,0.027916162710915435,0.03100903776412051,0.03100991648362948,0.11459935875293357,0.05445008294500065,0.03946715726244592,0.00624776599664125,0.007823442841145615,0.011206924735663313,0.01795554221211182,0.010660644433943142,0.01469357647920731,0.013937346047484072,0.029963889617171086,0.016441298043071217,0.02929679258478938
2022-06-14 08:00:00,0.3300019246384071,0.27338432945843555,0.0663911590263097,0.11387261506959798,0.06166108844716287,0.057384565856749746,0.06353478814444735,0.06115452876729413,0.183019343341717,0.11133236266340091,0.08847881127111976,0.014626657834983675,0.007748344063935623,0.013788387413513657,0.0249401077020708,0.01697381860963897,0.06027463719293228,0.04282172406863143,0.07506253887490276,0.052123539654540786,0.11511520816671708
2022-06-14 09:00:00,0.48777357927187154,0.4026006625302931,0.08731490508259651,0.1844312586943959,0.10455452373541194,0.11641232397884013,0.12097982074229142,0.11762983972190824,0.2880991032318254,0.14419924557838018,0.09163233731216042,0.02343844273844981,0.043248972993890335,0.056540201727693376,0.06226930892087804,0.06582878887956152,0.10392613818152825,0.19401498081048288,0.0897931247209131,0.05524475744052128,0.20437616769281233
2022-06-14 10:00:00,0.6248960055271116,0.4705297159896706,0.13076297139817286,0.19779163529209828,0.1611523798724903,0.21131524611152186,0.18411654813370604,0.22703851166290687,0.2824104115924013,0.13145690662582124,0.10814704443204537,0.05638829357586516,0.15029829845007692,0.17946643962353526,0.16655691194115482,0.1833008895171094,0.18121388474313255,0.3956206065710859,0.15121387547307488,0.09943068724773939,0.26637645687469497
