address,pref,county,muni,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
北海道富良野市,北海道,,富良野市,100.0,105.0,108.0,113.0,118.0,123.0,139.0,149.0,159.0,173.0
北海道登別市,北海道,,登別市,181.0,196.0,216.0,227.0,239.0,267.0,288.0,316.0,344.0,376.0
北海道恵庭市,北海道,,恵庭市,554.0,650.0,671.0,691.0,711.0,745.0,782.0,829.0,912.0,969.0
北海道伊達市,北海道,,伊達市,316.0,338.0,361.0,373.0,381.0,403.0,416.0,435.0,462.0,504.0
北海道北広島市,北海道,,北広島市,388.0,436.0,466.0,482.0,496.0,531.0,570.0,619.0,676.0,728.0
北海道石狩市,北海道,,石狩市,320.0,342.0,368.0,391.0,408.0,435.0,481.0,554.0,618.0,680.0
北海道北斗市,北海道,,北斗市,189.0,214.0,228.0,239.0,256.0,270.0,276.0,290.0,325.0,360.0
北海道石狩郡当別町,北海道,石狩郡,当別町,97.0,101.0,105.0,111.0,114.0,121.0,126.0,135.0,153.0,181.0
北海道石狩郡新篠津村,北海道,石狩郡,新篠津村,24.0,25.0,26.0,26.0,27.0,29.0,29.0,30.0,33.0,35.0
北海道松前郡松前町,北海道,松前郡,松前町,2.0,3.0,3.0,4.0,4.0,4.0,4.0,6.0,6.0,7.0
北海道松前郡福島町,北海道,松前郡,福島町,6.0,7.0,8.0,9.0,10.0,11.0,12.0,12.0,14.0,14.0
北海道上磯郡知内町,北海道,上磯郡,知内町,12.0,13.0,15.0,17.0,19.0,21.0,21.0,21.0,22.0,23.0
北海道上磯郡木古内町,北海道,上磯郡,木古内町,7.0,10.0,11.0,12.0,12.0,12.0,13.0,13.0,13.0,13.0
北海道亀田郡七飯町,北海道,亀田郡,七飯町,183.0,205.0,223.0,238.0,247.0,273.0,284.0,300.0,323.0,350.0
北海道茅部郡鹿部町,北海道,茅部郡,鹿部町,6.0,7.0,7.0,7.0,7.0,10.0,11.0,11.0,12.0,13.0
北海道茅部郡森町,北海道,茅部郡,森町,34.0,54.0,59.0,67.0,78.0,86.0,95.0,102.0,113.0,129.0
北海道二海郡八雲町,北海道,二海郡,八雲町,36.0,50.0,54.0,58.0,61.0,68.0,72.0,80.0,88.0,101.0
北海道山越郡長万部町,北海道,山越郡,長万部町,12.0,19.0,20.0,26.0,28.0,33.0,33.0,36.0,39.0,42.0
北海道檜山郡江差町,北海道,檜山郡,江差町,8.0,12.0,14.0,14.0,17.0,18.0,18.0,20.0,20.0,27.0
北海道檜山郡上ノ国町,北海道,檜山郡,上ノ国町,3.0,4.0,7.0,7.0,7.0,8.0,8.0,8.0,9.0,9.0
北海道檜山郡厚沢部町,北海道,檜山郡,厚沢部町,8.0,9.0,13.0,14.0,14.0,16.0,17.0,18.0,20.0,22.0
北海道爾志郡乙部町,北海道,爾志郡,乙部町,8.0,8.0,8.0,10.0,10.0,10.0,10.0,11.0,11.0,13.0
