,静岡市,浜松市,名古屋市,岡山市,広島市,札幌市,京都市,大阪市,堺市,神戸市,北九州市,福岡市,熊本市,仙台市,新潟市,さいたま市,千葉市,横浜市,川崎市,相模原市,特別区部
2022-09-09 21:00:00,131.36570171783998,168.6474426949659,393.3277449707361,107.8756707956491,171.0916600632738,319.50294169956527,302.2176682332125,736.5609568401335,223.81600858402197,292.9549832210661,253.00865315234844,301.2942706989311,146.9977151375027,187.42710690473237,114.29218952135254,224.5880146849132,152.02220181156846,641.2491356795216,428.28059415733156,140.78863196287838,1964.021535979827
2022-09-09 22:00:00,126.16999567756463,161.97718915672266,377.7710561727589,103.80580857263573,164.6368266534013,302.6704896008643,288.7576153218658,703.7562915488577,213.84777828312951,279.90746817057135,241.91002029274765,288.07751130542897,140.54942314754874,177.81145602079715,108.42860974707531,214.32660676449376,145.0763199133853,611.9505154078407,408.71248903287227,134.35601094721227,1874.285553525677
2022-09-09 23:00:00,121.96699772510769,156.58137543164148,365.1866777152273,100.53046128558913,159.44210016418123,294.72473581514214,275.02211794439324,670.2803165995066,203.67555964047256,266.59295076570095,230.0329765312291,273.9337846241473,133.6488753845437,170.3152641484022,103.85746634995897,202.14973603226272,136.83387339420798,577.1828193521128,385.4916709518473,126.72263400862188,1767.7988543467525
2022-09-10 00:00:00,112.68037367777426,144.65919653431925,337.3811938852526,96.16873643303694,152.52437033447723,276.7422404053499,253.1701902984142,617.023083725539,187.49248452715463,245.41076398522526,208.99077215035692,248.87576568352554,121.4233806162599,159.82951956499255,97.4633074313736,184.36329563686905,124.79434477069053,526.3985442145326,351.5736220694513,115.57275758146733,1612.2564847595595
2022-09-10 01:00:00,106.13170258232704,136.25200486362132,317.7735337361843,91.85565535207458,145.68378990807847,270.88747445797566,238.1492854123547,580.4143303718369,176.36832028959662,230.85023559326805,198.79610033814438,236.73548443067065,115.50028887888138,155.67984192134534,94.93285305082703,173.1441563105438,117.20018056201029,494.36538605082825,330.17916046670916,108.53975860433907,1514.145143943022
2022-09-10 02:00:00,103.26565826427068,132.5725737901374,309.1921861403818,92.37452224903245,146.5067168766678,277.6831849326065,238.03910762590434,580.1458065086067,176.28672495289078,230.74343465151773,198.34411981445024,236.19724536034704,115.23768875259367,156.54993562081978,95.46343219513518,167.8766335780618,113.63462785427627,479.3254276446988,320.1341998361534,105.23767981629715,1468.080672949892
2022-09-10 03:00:00,102.89739558653162,132.09979773041601,308.08955488505524,95.50393822130967,151.46999515597216,295.97932851815096,242.29931536864984,590.5287292201702,179.44174463884858,234.87307106586258,203.968766331533,242.8953315688187,118.50560143528527,160.47651231588378,97.85784064124375,167.26094910283666,113.21787494038529,477.5675104283979,318.96011352868584,104.85172255535718,1462.696514002643
2022-09-10 04:00:00,101.88867607794194,130.80480243639653,305.06930405524764,98.81171468941614,156.71615458072907,299.7431066271772,240.1692114972771,585.3372678643885,177.8642347958697,232.80825285869017,211.42644497248654,251.77627622915838,122.83850351903263,163.30989436289022,99.58562400860619,167.73981480578956,113.54201609563383,478.9347793744097,319.87329176782725,105.15191153608826,1466.8841931838367
2022-09-10 05:00:00,100.39160823582871,128.88286497622477,300.58686829989824,97.96855598185958,155.3788982567714,285.5243893264112,237.91056687504565,579.8325286681717,176.19153039340068,230.61883355280906,215.5444897439221,256.680232203218,125.23108244743182,161.25736563592494,98.33400141177671,167.60299603351731,113.44940433699139,478.5441311041206,319.61238369950115,105.06614325587938,1465.6877134177812
2022-09-10 06:00:00,99.1987573883695,127.35148165234459,297.0153018424274,94.54727738004357,149.95272355763558,274.44215378316716,240.72010042952866,586.6798871805389,178.27221147939872,233.34225756744164,207.08240993920384,246.60320071993695,120.31462452748956,157.687750458594,96.15726646076892,170.81823718191538,115.62578066508877,487.7243654559139,325.743723305165,107.08169784078808,1493.8049879200814
2022-09-10 07:00:00,106.27580536926843,136.43700419133842,318.2049981404425,95.909302984558,152.11290685018255,270.0510793226365,256.2368053546146,624.4969979187764,189.76355473213286,248.38339019727522,207.00707985192147,246.51349420821634,120.27085783977493,166.65640859163798,101.62631302517599,183.54238300323547,124.23867421883587,524.0546545927982,350.0081736594945,115.05814790021402,1605.0776061632273
2022-09-10 08:00:00,118.34841663080189,151.9358367578573,354.35212711940954,102.31406624388181,162.27091161870698,280.715117298211,284.4239557214867,693.1943529284741,210.63836170603454,275.706631128393,224.1070096650169,266.8768723687932,130.2058959509936,182.6081264153356,111.35359733749202,208.1697620122421,140.90879077447542,594.3713432448322,396.9716259581967,130.49643833781263,1820.4439640531868
